HUD frame time nsec:,16684000

Range Index,Elapsed Time, First Event,Last Event
0,10112,2,2
1,22912,106,106
2,51072,119,119
3,21984,134,134
4,1344,145,145
5,14688,158,158
6,5312,173,173
7,17600,188,188
8,15102336,194,194
